 Hit    Total  Avg    Min    Max   Name
119    346    2      2      6      CopyVideoBuffer
119    845    7      6      10     UnlockVideoBuffer
119    1817   15     15     17     Actor Rendering
119    2283   19     18     22     Wall Rendering
119    1112   9      9      11     Floor Rendering
119    364    3      3      4      ClearZScreen
119    1057   8      8      11     ClearScreen
119    7524   63     61     69     RenderNormalDisplay
119    519    4      4      5      LockVideoBuffer
119    9071   76     73     110    Refresh
119    136    1      0      3      Process
119    10     0      0      1      ReadInputs
 Hit    Total  Avg    Min    Max   Name
120    377    3      2      5      CopyVideoBuffer
120    916    7      7      10     UnlockVideoBuffer
120    1928   16     15     18     Actor Rendering
120    2175   18     10     32     Wall Rendering
120    1221   10     7      23     Floor Rendering
120    397    3      3      4      ClearZScreen
120    1172   9      8      11     ClearScreen
120    7810   65     58     80     RenderNormalDisplay
120    554    4      4      6      LockVideoBuffer
120    9412   78     72     95     Refresh
120    382    3      2      29     Process
120    5      0      0      1      ReadInputs
 Hit    Total  Avg    Min    Max   Name
133    384    2      2      4      CopyVideoBuffer
133    953    7      6      9      UnlockVideoBuffer
133    2064   15     14     18     Actor Rendering
133    1804   13     13     15     Wall Rendering
133    1365   10     9      12     Floor Rendering
133    420    3      3      4      ClearZScreen
133    1196   8      8      11     ClearScreen
133    7859   59     57     66     RenderNormalDisplay
133    584    4      4      6      LockVideoBuffer
133    9540   71     68     80     Refresh
133    297    2      2      4      Process
133    13     0      0      1      ReadInputs
 Hit    Total  Avg    Min    Max   Name
114    273    2      2      5      CopyVideoBuffer
114    1439   12     5      50     UnlockVideoBuffer
114    1573   13     12     24     Actor Rendering
114    1919   16     12     36     Wall Rendering
114    964    8      7      25     Floor Rendering
114    304    2      2      10     ClearZScreen
114    964    8      6      26     ClearScreen
114    6626   58     47     78     RenderNormalDisplay
114    497    4      3      22     LockVideoBuffer
114    8836   77     57     151    Refresh
114    154    1      0      22     Process
114    158    1      0      41     ReadInputs
 Hit    Total  Avg    Min    Max   Name
147    330    2      2      3      CopyVideoBuffer
147    1410   9      8      12     UnlockVideoBuffer
147    1859   12     8      16     Actor Rendering
147    1734   11     6      20     Wall Rendering
147    1308   8      6      15     Floor Rendering
147    371    2      2      4      ClearZScreen
147    1037   7      6      9      ClearScreen
147    7225   49     42     59     RenderNormalDisplay
147    539    3      3      5      LockVideoBuffer
147    9360   63     55     73     Refresh
147    362    2      1      22     Process
147    12     0      0      1      ReadInputs
 Hit    Total  Avg    Min    Max   Name
142    314    2      2      3      CopyVideoBuffer
142    1387   9      8      11     UnlockVideoBuffer
142    1795   12     9      16     Actor Rendering
142    1941   13     7      21     Wall Rendering
142    1308   9      7      13     Floor Rendering
142    355    2      2      4      ClearZScreen
142    982    6      6      8      ClearScreen
142    7263   51     45     58     RenderNormalDisplay
142    515    3      3      5      LockVideoBuffer
142    9360   65     60     74     Refresh
142    357    2      1      5      Process
142    15     0      0      1      ReadInputs
 Hit    Total  Avg    Min    Max   Name
148    343    2      2      3      CopyVideoBuffer
148    1416   9      8      12     UnlockVideoBuffer
148    1970   13     11     16     Actor Rendering
148    1517   10     6      21     Wall Rendering
148    1371   9      6      13     Floor Rendering
148    382    2      2      4      ClearZScreen
148    1032   6      6      8      ClearScreen
148    7196   48     42     62     RenderNormalDisplay
148    521    3      3      5      LockVideoBuffer
148    9333   63     56     76     Refresh
148    414    2      1      8      Process
148    9      0      0      1      ReadInputs
 Hit    Total  Avg    Min    Max   Name
121    388    3      2      65     CopyVideoBuffer
121    1353   11     9      73     UnlockVideoBuffer
121    2025   16     12     267    Actor Rendering
121    2124   17     14     44     Wall Rendering
121    1053   8      6      11     Floor Rendering
121    587    4      2      238    ClearZScreen
121    1026   8      7      33     ClearScreen
121    7720   63     53     627    RenderNormalDisplay
121    561    4      3      77     LockVideoBuffer
121    9906   81     68     880    Refresh
121    205    1      0      29     Process
121    18     0      0      3      ReadInputs
 Hit    Total  Avg    Min    Max   Name
127    354    2      2      4      CopyVideoBuffer
127    1401   11     9      13     UnlockVideoBuffer
127    1808   14     9      35     Actor Rendering
127    1779   14     7      36     Wall Rendering
127    1374   10     5      32     Floor Rendering
127    370    2      2      4      ClearZScreen
127    1080   8      8      10     ClearScreen
127    7291   57     47     90     RenderNormalDisplay
127    521    4      4      5      LockVideoBuffer
127    9382   73     63     107    Refresh
127    390    3      1      22     Process
127    21     0      0      2      ReadInputs
 Hit    Total  Avg    Min    Max   Name
107    297    2      2      5      CopyVideoBuffer
107    1486   13     8      202    UnlockVideoBuffer
107    1658   15     11     27     Actor Rendering
107    2239   20     14     50     Wall Rendering
107    1109   10     7      65     Floor Rendering
107    350    3      2      24     ClearZScreen
107    949    8      8      20     ClearScreen
107    7096   66     55     133    RenderNormalDisplay
107    446    4      4      8      LockVideoBuffer
107    9222   86     71     318    Refresh
107    436    4      1      24     Process
107    92     0      0      31     ReadInputs
 Hit    Total  Avg    Min    Max   Name
135    339    2      2      3      CopyVideoBuffer
135    1056   7      6      27     UnlockVideoBuffer
135    1931   14     13     20     Actor Rendering
135    2164   16     15     23     Wall Rendering
135    1217   9      8      15     Floor Rendering
135    367    2      2      4      ClearZScreen
135    1016   7      7      9      ClearScreen
135    7650   56     55     74     RenderNormalDisplay
135    523    3      3      5      LockVideoBuffer
135    9364   69     66     99     Refresh
135    390    2      2      20     Process
135    42     0      0      32     ReadInputs
 Hit    Total  Avg    Min    Max   Name
125    341    2      2      5      CopyVideoBuffer
125    1295   10     7      38     UnlockVideoBuffer
125    1814   14     13     21     Actor Rendering
125    2132   17     14     33     Wall Rendering
125    1193   9      7      18     Floor Rendering
125    361    2      2      4      ClearZScreen
125    1060   8      7      25     ClearScreen
125    7461   59     54     86     RenderNormalDisplay
125    532    4      3      22     LockVideoBuffer
125    9433   75     66     112    Refresh
125    299    2      1      6      Process
125    58     0      0      37     ReadInputs
 Hit    Total  Avg    Min    Max   Name
122    338    2      2      4      CopyVideoBuffer
122    1371   11     6      44     UnlockVideoBuffer
122    1785   14     12     30     Actor Rendering
122    2049   16     8      43     Wall Rendering
122    1229   10     5      28     Floor Rendering
122    348    2      2      4      ClearZScreen
122    1060   8      8      21     ClearScreen
122    7337   60     50     87     RenderNormalDisplay
122    509    4      4      11     LockVideoBuffer
122    9375   76     66     136    Refresh
122    339    2      1      6      Process
122    21     0      0      2      ReadInputs
 Hit    Total  Avg    Min    Max   Name
127    350    2      2      4      CopyVideoBuffer
127    1398   11     9      13     UnlockVideoBuffer
127    1854   14     12     32     Actor Rendering
127    1992   15     7      39     Wall Rendering
127    1071   8      2      12     Floor Rendering
127    376    2      2      4      ClearZScreen
127    1062   8      8      10     ClearScreen
127    7229   56     49     79     RenderNormalDisplay
127    521    4      4      5      LockVideoBuffer
127    9310   73     65     96     Refresh
127    450    3      1      23     Process
127    12     0      0      1      ReadInputs
 Hit    Total  Avg    Min    Max   Name
91     374    4      2      89     CopyVideoBuffer
91     1183   13     10     97     UnlockVideoBuffer
91     1461   16     14     19     Actor Rendering
91     1906   20     19     23     Wall Rendering
91     927    10     9      12     Floor Rendering
91     316    3      3      6      ClearZScreen
91     874    9      2      11     ClearScreen
91     6236   68     56     108    RenderNormalDisplay
91     510    5      4      88     LockVideoBuffer
91     8156   89     78     359    Refresh
91     153    1      0      29     Process
91     11     0      0      1      ReadInputs
 Hit    Total  Avg    Min    Max   Name
67     247    3      2      58     CopyVideoBuffer
67     804    12     10     66     UnlockVideoBuffer
67     990    14     14     16     Actor Rendering
67     1312   19     19     22     Wall Rendering
67     630    9      9      11     Floor Rendering
67     208    3      3      4      ClearZScreen
67     121    1      1      9      ClearScreen
67     3778   56     55     65     RenderNormalDisplay
67     325    4      4      37     LockVideoBuffer
67     5064   75     71     193    Refresh
67     26     0      0      1      Process
67     4      0      0      1      ReadInputs
 Hit    Total  Avg    Min    Max   Name
5944   173    0      0      19     LockVideoBuffer
5944   3306   0      0      72     Refresh
5944   361    0      0      15     Process
5944   412    0      0      7      ReadInputs
 Hit    Total  Avg    Min    Max   Name
109    397    3      2      55     CopyVideoBuffer
109    1370   12     11     77     UnlockVideoBuffer
109    1770   16     13     43     Actor Rendering
109    2182   20     13     23     Wall Rendering
109    1089   9      8      13     Floor Rendering
109    361    3      3      4      ClearZScreen
109    1071   9      8      11     ClearScreen
109    7347   67     60     118    RenderNormalDisplay
109    597    5      4      80     LockVideoBuffer
109    9518   87     77     301    Refresh
109    239    2      0      33     Process
109    14     0      0      2      ReadInputs
 Hit    Total  Avg    Min    Max   Name
114    363    3      3      4      CopyVideoBuffer
114    1394   12     11     15     UnlockVideoBuffer
114    1732   15     10     21     Actor Rendering
114    1720   15     10     35     Wall Rendering
114    1339   11     8      16     Floor Rendering
114    389    3      3      5      ClearZScreen
114    1141   10     9      12     ClearScreen
114    7211   63     55     82     RenderNormalDisplay
114    538    4      4      6      LockVideoBuffer
114    9290   81     73     101    Refresh
114    518    4      3      9      Process
114    6      0      0      1      ReadInputs
 Hit    Total  Avg    Min    Max   Name
120    389    3      3      5      CopyVideoBuffer
120    1459   12     11     14     UnlockVideoBuffer
120    1801   15     12     20     Actor Rendering
120    1716   14     9      23     Wall Rendering
120    1326   11     8      15     Floor Rendering
120    413    3      3      4      ClearZScreen
120    1197   9      9      12     ClearScreen
120    7376   61     53     70     RenderNormalDisplay
120    553    4      4      5      LockVideoBuffer
120    9536   79     72     89     Refresh
120    336    2      1      6      Process
120    12     0      0      2      ReadInputs
 Hit    Total  Avg    Min    Max   Name
114    374    3      3      4      CopyVideoBuffer
114    1387   12     11     14     UnlockVideoBuffer
114    1862   16     14     19     Actor Rendering
114    1882   16     9      32     Wall Rendering
114    1099   9      2      13     Floor Rendering
114    392    3      3      4      ClearZScreen
114    1190   10     9      50     ClearScreen
114    7306   64     58     105    RenderNormalDisplay
114    541    4      4      6      LockVideoBuffer
114    9395   82     76     124    Refresh
114    383    3      1      8      Process
114    21     0      0      2      ReadInputs
 Hit    Total  Avg    Min    Max   Name
118    365    3      2      4      CopyVideoBuffer
118    1396   11     9      19     UnlockVideoBuffer
118    1939   16     14     31     Actor Rendering
118    1678   14     10     18     Wall Rendering
118    1423   12     10     14     Floor Rendering
118    391    3      3      4      ClearZScreen
118    1136   9      8      11     ClearScreen
118    7479   63     56     77     RenderNormalDisplay
118    536    4      4      6      LockVideoBuffer
118    9548   80     75     94     Refresh
118    320    2      1      6      Process
118    12     0      0      2      ReadInputs
 Hit    Total  Avg    Min    Max   Name
7812   192    0      0      1      LockVideoBuffer
7812   4361   0      0      18     Refresh
7812   614    0      0      24     Process
7812   515    0      0      7      ReadInputs
 Hit    Total  Avg    Min    Max   Name
6767   366    0      0      46     LockVideoBuffer
6767   4096   0      0      47     Refresh
6767   772    0      0      37     Process
6767   1976   0      0      654    ReadInputs
 Hit    Total  Avg    Min    Max   Name
24     312    13     6      142    CopyVideoBuffer
24     670    27     19     184    UnlockVideoBuffer
24     674    28     20     33     Actor Rendering
24     1212   50     47     57     Wall Rendering
24     540    22     20     26     Floor Rendering
24     181    7      7      9      ClearZScreen
24     534    22     21     25     ClearScreen
24     3497   145    130    243    RenderNormalDisplay
3799   474    0      0      67     LockVideoBuffer
3799   6872   1      0      548    Refresh
3799   527    0      0      16     Process
3799   404    0      0      36     ReadInputs
 Hit    Total  Avg    Min    Max   Name
